ID,Site,Origin,iteration,tub,chamber,left,right,day1_silk_side,day1_spider_side,day1_retreat_side,day2_silk_side,day2_spider_side,day2_retreat_side,day3_silk_side,day3_spider_side,day3_retreat_side,day4_silk_side,day4_spider_side,day4_retreat_side,before_spider_mass,after_spider_mass,mass_difference,og_silk,side_w_more,loud_silk,quiet_silk,tunnel_silk,silk_total,percent_loud,percent_quiet,percent_tunnel,silk_total_notunnel,per_loud_notunnel,per_quiet_notunnel,diff
AP107,6C,Quiet,4,13,back,quiet,loud,loud,loud,loud,loud,loud,NA,loud,loud,NA,loud,loud,NA,0.0553,0.0547,-0.0006,4.754,loud,0.954,0.633,0.041,1.628,59,39,3,1.587,60,40,20
AP088,6C,Quiet,4,13,z_front,quiet,loud,NA,quiet,NA,quiet,quiet,quiet,quiet,quiet,quiet,quiet,quiet,quiet,0.0869,0.0811,-0.0058,5.298,quiet,0.33,1.182,0.146,1.658,20,71,9,1.512,22,78,56
AP127,6C,Quiet,4,14,z_front,quiet,loud,loud,loud,NA,NA,loud,NA,quiet,quiet,NA,quiet,loud,NA,0.0749,0.0762,0.0013,3.797,quiet,0.651,1.321,0.099,2.071,31,64,5,1.972,33,67,34
AP135,6C,Quiet,5,13,back,quiet,loud,loud,loud,NA,loud,tunnel,NA,loud,loud,NA,loud,loud,NA,0.115,0.1088,-0.0062,9.896,loud,0.684,0.284,0.155,1.123,61,25,14,0.968,71,29,41
AP018,8A,Loud,2,6,back,loud,quiet,NA,loud,,loud,loud,,loud,quiet,,loud,quiet,,0.0999,0.1011,0.0012,4.408,loud,0.571,0.309,0.061,0.941,61,33,6,0.88,65,35,30
AP035,8A,Loud,2,6,z_front,loud,quiet,NA,loud,,loud,loud,,NA,loud,,loud,loud,,0.063,0.0648,0.0018,4.202,loud,0.175,0.173,0.198,0.546,32,32,36,0.348,50,50,1
AP069,8A,Loud,2,9,middle,loud,quiet,loud,loud,,loud,tunnel,,loud,tunnel,,loud,loud,,0.0742,0.0728,-0.0014,3.66,loud,0.258,0.131,0.05,0.439,59,30,11,0.389,66,34,33
AP011,8A,Loud,2,14,back,loud,quiet,quiet,quiet,,quiet,quiet,,quiet,quiet,,quiet,quiet,,0.1261,0.1207,-0.0054,3.731,loud,0.659,0.586,0.167,1.412,47,42,12,1.245,53,47,6
AP061,8A,Loud,2,14,z_front,loud,quiet,loud,loud,,loud,loud,,loud,loud,,loud,loud,,0.0744,0.072,-0.0024,3.158,loud,0.515,0.351,0.251,1.117,46,31,22,0.866,59,41,19
AP029,8A,Loud,2,20,back,quiet,loud,NA,tunnel,,quiet,tunnel,,NA,tunnel,,quiet,tunnel,,0.0808,0.0736,-0.0072,2.823,loud,0.145,0.128,0.278,0.551,26,23,50,0.273,53,47,6
AP030,8A,Loud,3,6,back,loud,quiet,NA,loud,,loud,loud,,quiet,quiet,,quiet,quiet,,0.0829,0.0886,0.0057,3.638,quiet,0.243,0.428,0.052,0.723,34,59,7,0.671,36,64,28
AP051,8A,Loud,3,6,z_front,loud,quiet,loud,loud,,loud,loud,,quiet,loud,,NA,loud,,0.0774,0.0808,0.0034,2.331,loud,0.576,0.469,0.079,1.124,51,42,7,1.045,55,45,10
AP016,8A,Loud,3,9,back,quiet,loud,quiet,quiet,,loud,quiet,,quiet,quiet,,loud,quiet,,0.1067,0.1062,-0.0005,4.434,quiet,0.25,0.257,0.069,0.576,43,45,12,0.507,49,51,1
AP013,8A,Loud,3,9,middle,loud,quiet,loud,loud,,quiet,loud,,quiet,quiet,,loud,quiet,,0.208,0.2016,-0.0064,6.843,loud,0.871,0.627,0.065,1.563,56,40,4,1.498,58,42,16
AP062,8A,Loud,3,13,back,loud,quiet,loud,loud,,loud,loud,,loud,loud,,loud,loud,,0.1212,0.116,-0.0052,4.541,loud,0.622,0.013,0.026,0.661,94,2,4,0.635,98,2,96
AP067,8A,Loud,3,13,z_front,loud,quiet,quiet,quiet,,quiet,quiet,,quiet,quiet,,quiet,quiet,,0.1171,0.113,-0.0041,4.997,loud,0.38,0.252,0.078,0.71,54,35,11,0.632,60,40,20
